"Informazioni cronologiche","Quanti anni hai?","Che istituto superiore hai frequentato?","Che università frequenti?","Che facoltà frequenti?","Che anno di corso frequenti?","Sesso?","Orientamento sessuale","Quanti componenti ha la tua famiglia?","Qual è il tuo orientamento religioso?","Qual è la tua nazionalità?","Com'è il tuo stato di salute?","Ti consideri introverso o estroverso?","Quanto la pandemia ha influito sui tuoi rapporti sociali?","Hai problemi di mobilità?"
"2022/04/22 5:45:21 PM EET","20","Liceo Scientifico"," Università degli studi di Salerno","Informatica","2","Uomo","Etero","4","Cristiano","Italiana","Ottima salute","2","3","2"
"2022/04/22 5:46:27 PM EET","21","ITE Luigi Amabile","Università degli studi di Salerno ","Informatica ","3","Maschio","Eterosessuale ","4","Ateo","Italiana","Dermatite da stress","3","5","5"
"2022/04/22 5:48:31 PM EET","20","Itis Giordani Caserta","Unisa ","Informatica","2","M","Etero","3","Ateo ","Italiana","-","4","2","1"
"2022/04/22 6:02:01 PM EET","23","Liceo Classico","Università degli Studi di Salerno","Informatica","3","F","Bisessuale","4","Ateo","Italiana","Nella norma","2","4","1"
"2022/04/22 6:17:34 PM EET","21","liceo linguistico","università di salerno","economia e management","3","M","etero","4","ateo","italia","normale","3","5","4"
"2022/04/22 6:22:57 PM EET","21","Basilio Focaccia","Università degli studi di Salerno ","Statistica per i big data","3","Maschio","Etero","4","Agnostico","Italiana","Buono","5","4","1"
"2022/04/22 6:24:57 PM EET","21","Liceo Scientifico","Università degli Studi di Salerno","Informatica","3","Maschio","Etero","4","Cristiano","Italiana","Ansia","1","2","2"
"2022/04/22 8:45:57 PM EET","20","B. Focaccia ","Università degli studi di Salerno","Informatica ","2","Donna","Bisessuale","5","Cattolica non praticante ","Italiana","Buono","2","6","2"
"2022/04/22 10:24:23 PM EET","21","Istituto tecnico ","Università degli studi di Salerno","Informatica","3","M","Bisessuale","6","Ateo","Italiana","Ottima salute","2","1","1"
"2022/04/23 12:00:59 PM EET","21","Liceo Linguistico ","Università degli studi di Salerno","Informatica ","3","Femminile","Etero","3","Atea","Italiana","Nessuno","1","5","1"
"2022/04/27 4:16:34 PM EET","22","ITIS Renato Elia","Unisa","Informatica","3","Maschio","Bisessuale","4","Ateo","Italiana","Normale","2","5","5"
"2022/04/27 4:18:00 PM EET","21","Liceo scienze umane ","Unisa","Informatica","3","Femmina","Bisessuale","5","Agnostico","Italia","-","4","6","3"
